feature,gain,total_gain,split_count,target,fold_id
timestep,11.711828231811523,8912.701171875,761.0,ev1_status,A
status,1465.9019775390625,310771.21875,212.0,ev1_status,A
time_sin,0.743563175201416,231.24815368652344,311.0,ev1_status,A
time_cos,13.797175407409668,6995.16796875,507.0,ev1_status,A
steps_in_current_state,32.18111038208008,28126.2890625,874.0,ev1_status,A
phase_id,13.472843170166016,2950.552734375,219.0,ev1_status,A
status_lag_1,33.2584228515625,7616.17919921875,229.0,ev1_status,A
status_lag_1_is_pad,0.0,0.0,0.0,ev1_status,A
status_lag_2,17.182043075561523,257.73065185546875,15.0,ev1_status,A
status_lag_2_is_pad,0.0,0.0,0.0,ev1_status,A
status_lag_4,10.530024528503418,558.09130859375,53.0,ev1_status,A
status_lag_4_is_pad,0.0,0.0,0.0,ev1_status,A
status_lag_8,0.0,0.0,0.0,ev1_status,A
status_lag_8_is_pad,0.0,0.0,0.0,ev1_status,A
start1_earliest,0.0,0.0,0.0,ev1_status,A
end1_latest,0.0,0.0,0.0,ev1_status,A
start2_earliest,0.0,0.0,0.0,ev1_status,A
end2_latest,0.0,0.0,0.0,ev1_status,A
max_commute_steps_1,0.0,0.0,0.0,ev1_status,A
max_commute_steps_2,0.0,0.0,0.0,ev1_status,A
steps_to_start1_earliest,0.0,0.0,0.0,ev1_status,A
steps_to_end1_latest,0.0,0.0,0.0,ev1_status,A
steps_to_start2_earliest,0.0,0.0,0.0,ev1_status,A
steps_to_end2_latest,0.0,0.0,0.0,ev1_status,A
start1,0.7267457246780396,361.192626953125,497.0,ev1_status,A
end1,0.7582796812057495,304.0701599121094,401.0,ev1_status,A
start2,15.153972625732422,2712.56103515625,179.0,ev1_status,A
end2,0.0,0.0,0.0,ev1_status,A
start1_observed,0.0,0.0,0.0,ev1_status,A
end1_observed,0.0,0.0,0.0,ev1_status,A
start2_observed,0.0,0.0,0.0,ev1_status,A
end2_observed,0.0,0.0,0.0,ev1_status,A
observed_window_length_1,0.686998724937439,76.2568588256836,111.0,ev1_status,A
observed_window_length_2,0.0,0.0,0.0,ev1_status,A
window_length_slack_1,1.2859891653060913,151.74671936035156,118.0,ev1_status,A
window_length_slack_2,0.0,0.0,0.0,ev1_status,A
timestep,11.861988067626953,8789.7333984375,741.0,ev1_status,B
status,1545.9609375,310738.15625,201.0,ev1_status,B
time_sin,0.7138713002204895,246.9994659423828,346.0,ev1_status,B
time_cos,14.715553283691406,7151.7587890625,486.0,ev1_status,B
steps_in_current_state,34.9129524230957,28104.92578125,805.0,ev1_status,B
phase_id,13.64799976348877,2879.72802734375,211.0,ev1_status,B
status_lag_1,31.383129119873047,7500.56787109375,239.0,ev1_status,B
status_lag_1_is_pad,0.0,0.0,0.0,ev1_status,B
status_lag_2,11.076125144958496,232.5986328125,21.0,ev1_status,B
status_lag_2_is_pad,0.0,0.0,0.0,ev1_status,B
status_lag_4,12.57146167755127,754.2877197265625,60.0,ev1_status,B
status_lag_4_is_pad,0.0,0.0,0.0,ev1_status,B
status_lag_8,0.0,0.0,0.0,ev1_status,B
status_lag_8_is_pad,0.0,0.0,0.0,ev1_status,B
start1_earliest,0.0,0.0,0.0,ev1_status,B
end1_latest,0.0,0.0,0.0,ev1_status,B
start2_earliest,0.0,0.0,0.0,ev1_status,B
end2_latest,0.0,0.0,0.0,ev1_status,B
max_commute_steps_1,0.0,0.0,0.0,ev1_status,B
max_commute_steps_2,0.0,0.0,0.0,ev1_status,B
steps_to_start1_earliest,0.0,0.0,0.0,ev1_status,B
steps_to_end1_latest,0.0,0.0,0.0,ev1_status,B
steps_to_start2_earliest,0.0,0.0,0.0,ev1_status,B
steps_to_end2_latest,0.0,0.0,0.0,ev1_status,B
start1,0.6487661004066467,310.75897216796875,479.0,ev1_status,B
end1,0.8236898183822632,347.59710693359375,422.0,ev1_status,B
