feature,abs_coef,target,fold_id
timestep,0.022952578230537236,base_load,A
base_load,0.21931697093148098,base_load,A
n_evs_at_home,0.01644062066861491,base_load,A
time_sin,0.036564569956803065,base_load,A
time_cos,0.039401323438163945,base_load,A
base_load_lag_1,0.11978780801870442,base_load,A
base_load_lag_1_is_pad,0.006791367394723959,base_load,A
base_load_lag_2,0.07452669558369092,base_load,A
base_load_lag_2_is_pad,0.003508178355010487,base_load,A
base_load_lag_4,0.013453270219287113,base_load,A
base_load_lag_4_is_pad,0.04101307180912267,base_load,A
base_load_lag_8,0.05895540611709523,base_load,A
base_load_lag_8_is_pad,0.013218085553925524,base_load,A
base_load_lag_12,6.618272909641432e-05,base_load,A
base_load_lag_12_is_pad,0.004907957421480863,base_load,A
base_load_ma_2,0.18132581414563076,base_load,A
base_load_ma_4,0.07390304053684152,base_load,A
base_load_ma_8,0.029235935470516373,base_load,A
base_load_ma_16,0.07658321494332325,base_load,A
base_load_std_4,0.0001975031230387461,base_load,A
base_load_std_8,0.004564233083057263,base_load,A
base_load_delta_1,0.17164776173200325,base_load,A
base_load_delta_2,0.07804636143716961,base_load,A
base_load_accel,0.06518868668803711,base_load,A
timestep,0.03405343647709795,base_load,B
base_load,0.2285230139827788,base_load,B
n_evs_at_home,0.014674743281239284,base_load,B
time_sin,0.0421519113209048,base_load,B
time_cos,0.033319036646933475,base_load,B
base_load_lag_1,0.1310158558874528,base_load,B
base_load_lag_1_is_pad,0.021008509286409745,base_load,B
base_load_lag_2,0.09048201626574122,base_load,B
base_load_lag_2_is_pad,0.012889917617021797,base_load,B
base_load_lag_4,0.008625943732272462,base_load,B
base_load_lag_4_is_pad,0.019779634147403892,base_load,B
base_load_lag_8,0.07393224547013022,base_load,B
base_load_lag_8_is_pad,0.012660307415071313,base_load,B
base_load_lag_12,0.0003745704617794777,base_load,B
base_load_lag_12_is_pad,0.01475391790365917,base_load,B
base_load_ma_2,0.19281600593396997,base_load,B
base_load_ma_4,0.1169954301589639,base_load,B
base_load_ma_8,0.01243704924666569,base_load,B
base_load_ma_16,0.05359405637136819,base_load,B
base_load_std_4,0.04398865285573896,base_load,B
